id,group,source,target,value,info
Liz Truss,1,Liz Truss,Liz Truss,1000,PM
"Jon Moynihan: £20,000",2,"Jon Moynihan: £20,000",Liz Truss,20000,"Jon Moynihan is a long-standing Conservative donor, having given more than half a million pounds to the party in recent years – including £100,000 to Boris Johnson’s 2019 leadership election campaign.

Moynihan is the chairman of the pro-Brexit, libertarian think tank, the Institute for Free Trade (IFT). The IFT’s president is Daniel Hannan, a former Conservative MEP who was appointed as a member of the House of Lords by Boris Johnson. Hannan was also one of “a swathe of free market think tankers” appointed to Liz Truss’ “refreshed Strategic Trade Advisory Group” in late 2020, when she was International Trade Secretary.

Moynihan is also a director of the IEA Forum, the non-charitable arm of the Institute of Economic Affairs (IEA) – a libertarian think tank that advocates for a smaller state and lower taxes. The IEA is considered to be part of the ‘Tufton Street’ group of right-wing think tanks, characterised by their opaque funding and links to similar libertarian projects in the United States.

He is also on the advisory council of the Free Speech Union – the project founded by short-lived government advisor and right-wing writer Toby Young. "
"Lord Greville Howard of Rising: £4,356",2,"Lord Greville Howard of Rising: £4,356",Liz Truss,4356,"Educated at Eton College and private secretary to Enoch Powell from 1968 to 1970, Lord Greville Howard of Rising is a hereditary peer in the House of Lords and a former shadow cabinet minister, heading various posts on the opposition benches, including the Treasury, Cabinet Office and Culture, Media and Sport.

A Westminster townhouse owned by Lord Howard was used as the Truss campaign headquarters – as it was for Boris Johnson’s 2019 leadership campaign. "
"Andrew Law: £5,127",2,"Andrew Law: £5,127",Liz Truss,5127,"Andrew Law is a hedge fund manager who runs Caxton Associates, headquartered in Mayfair. He has donated substantially (more than £4 million) to the Conservatives since 2004, and has also donated to Policy Exchange – the right-wing think tank co-founded by senior Tory politician Michael Gove. "
"Linda Edwards: £10,000",2,"Linda Edwards: £10,000",Liz Truss,10000,"Linda Edwards is likely to be the same Linda Edwards who joined the IEA’s board of trustees in 2019. She previously donated £20,000 to the local Conservative Party in Truss’ constituency in 2019.

Edward’s biography on the IEA website states that she has had a “long relationship” with the US-based Cato Institute – co-founded and part-funded by the radical right-wing billionaire Koch brothers. "
"Howard Shore: £50,000",2,"Howard Shore: £50,000",Liz Truss,50000,"An investment banker by trade, Howard Shore founded and remains chairman of Shore Capital Group. He also founded Puma Brandenburg, an investment vehicle focused on real estate and other ‘asset classes’.

He has donated more than £1.8 million to the Conservatives in recent years, and £50,000 to the Vote Leave campaign."
"Lord Michael Spencer: £25,000",2,"Lord Michael Spencer: £25,000",Liz Truss,25000,"Lord Michael Spencer – awarded a peerage by Boris Johnson – also donated substantially to Truss’ campaign.

Lord Spencer is a billionaire former stockbroker who founded Intercapital Brokers in 1986, and has been active in Conservative politics for decades, having served as the party’s Treasurer from 2006 to 2010.

He has donated several million to the Conservatives in recent years, and has said that a primary benefit of Brexit is the ability to remove the cap on bankers’ bonuses."
"Smoked Salmon Limited: £10,000",2,"Smoked Salmon Limited: £10,000",Liz Truss,10000,"Smoked Salmon Limited is owned by Lance Forman, who served as a Brexit Party MEP from July 2019 to January 2020. Forman was previously close to Boris Johnson, who opened his premises in east London when he was Mayor of London.

Forman was one of four Brexit Party politicians who defected to the Conservatives during the 2019 General Election campaign – including Lucy Harris, who helped to coordinate Truss’ grassroots campaign during the recent leadership contest."
"Fitriani Hay: £100,000",2,"Fitriani Hay: £100,000",Liz Truss,100000,"The joint-largest donor to the Truss campaign, Fitriani Hay, is the wife of James Hay, a former British Petroleum executive who worked for the oil firm for 27 years.

The pair have donated more than £1 million to the Conservative Party in recent years and in 2011 purchased Birch Grove, the former home of Tory Prime Minister Harold Macmillan.

Their other corporate interests include several luxury fashion brands and a manufacturer of construction chemicals."
"Natasha Barnaba: £100,000",2,"Natasha Barnaba: £100,000",Liz Truss,100000,"Listed as an interior designer on Companies House, Natasha Barnaba is the wife of Alessandro Barnaba, an investment banker, French football club chairman and advisor to private healthcare firm Clinova. "
"Gary Mond: £10,000",2,"Gary Mond: £10,000",Liz Truss,10000,"Gary Mond is the former senior vice-president of the Board of Deputies of British Jews, who resigned in January after alleged Islamophobic activity on his social media was uncovered.

Mond was reported to have posted that civilisation was “at war” with Islam. Mond said he apologised “for any hurt that has been caused as a result of the excavation into my Facebook activity from many years ago”.

However, he also claimed that the Board of Deputies had “cancelled” his opinions and that the organisation was trying to “silence contradictory thought”."
"Clara Freeman: £5,000",2,"Clara Freeman: £5,000",Liz Truss,5000,"Clara Freeman is the wife of Michael Freeman, who founded the property development firm Argent Group. The pair are long-standing Conservative donors, and attended a ‘thank you’ dinner at Downing Street after David Cameron won election in 2010. Clara is also a former director of Marks and Spencer."
"Tony Gallagher: £5,500",2,"Tony Gallagher: £5,500",Liz Truss,5500,"Tony Gallagher is a billionaire land and property developer who has donated more than £4.3 million to the party in recent years.

Gallagher – who was given a knighthood under Johnson – gave the former Prime Minister’s son Wilfred a £780 envelope opener made of sterling silver, registered as a gift by the Cabinet Office, and was one of 22 big-money Conservative donors who signed a letter urging MPs not to oust Johnson in June."
"JC Bamford: £5,316",2,"JC Bamford: £5,316",Liz Truss,5316,"The machinery company JCB is owned by the Bamford family – whose primo is Lord Anthony Bamford, one of the biggest Conservative donors in recent history, having donated £12.8 million over recent years.

Lord Bamford was also a signatory of the letter urging against Johnson’s ousting, and the new parliamentary records show that he funded Johnson’s recent wedding celebration to the tune of £23,853 – allowing the then Prime Minister and his wife Carrie Johnson to use Daylesford House in Cotswolds, which Bamford owns.

The Bamford family’s net worth is estimated at £4.3 billion."
"Baroness Sheila Noakes: £5,000",2,"Baroness Sheila Noakes: £5,000",Liz Truss,5000,"Baroness Sheila Noakes was awarded a life peerage by the Conservative Party in 1996, taking up her seat in 2000, having served as a partner at the consultancy KPMG, where she was described as “the country’s most high profile accountant”.

Baroness Noakes was the opposition spokesperson for the Treasury, Work and Pensions, and Health, during the New Labour years."
"Barbara Yerolemou: £10,000",2,"Barbara Yerolemou: £10,000",Liz Truss,10000,"Tony Yerolemou, married to ex-Conservative councillor Barbara, is co-founder and former chief executive of Katsouris Fresh Foods, which makes ready meals for supermarkets."
"Phillip Jeans: £10,000",2,"Phillip Jeans: £10,000",Liz Truss,10000,"Phillip Jeans appears to be the owner of a property development company. Indeed, a ‘Phillip Jeans’ has donated more than £50,000 to the Conservatives in recent years – largely to constituency parties in South Norfolk and Norwich, where Phillip Jeans Homes is located. "
"SJJ Contracts: £15,000",2,"SJJ Contracts: £15,000",Liz Truss,15000,SJJ Contracts appears to be a construction and real estate firm based in the north-west of England.
"Tungsten West: £4,050",2,"Tungsten West: £4,050",Liz Truss,4050,Tungsten West owns and operates the Hemerdon Tungsten Project in Devon – a mining venture that was recently paused after rising energy prices and inflation challenged the finances of the project. 
